title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP
boAt Airdopes 131 Bluetooth,boAt,Midnight Blue,True Wireless,3.4,12140,1099,2990
Allmusic powerful driven bass,Allmusic powerful,Multicolor,In the Ear,4,15841,260,1599
Aroma NB119C Carter,Aroma,Black,In the Ear,3.7,92346,449,1999
Boult Audio AirBass Combuds,Boult Audio,White,True Wireless,3.9,43126,1299,4999
Mivi Duopods F30,Mivi,White,True Wireless,3.9,99486,999,2999
Mivi Collar Classic Neckband,Mivi,Black,In the Ear,3.4,56834,699,2499
CatBull In-ear Bluetooth Headset,CatBull,Black,True Wireless,3.6,1904,130,499
FIER MGNT_k1-2 Bluetooth Headset,FIER,Black,True Wireless,4.2,887466,228,999
boAt Rockerz 255F Bluetooth,boAt,Active Black,In the Ear,4.3,90,1099,2990
Grostar Moonwalk Mini in,Grostar,Red,In the Ear,4.1,14148,699,1995
Aroma NB119 Titanium,Aroma,Blue,In the Ear,3.8,631,649,2499
Aroma NB120B Dhoom,Aroma,Black,In the Ear,3.4,183,379,1999
Avlokan Air Tune (Buds),Avlokan Air,Black,True Wireless,4,93468,426,1299
boAt Rockerz 333 Upto,boAt,Active Black,In the Ear,4.1,56420,1499,3990
realme Buds Wireless 2,realme,Yellow,In the Ear,3.9,13327,2299,3499
U&I Fighter Series Deep,U&I,Black,In the Ear,4.3,1049774,399,1999
boAt Bassheads 100 Wired,boAt,Black,In the Ear,4.3,535144,399,999
realme Buds 2 Wired,realme,Black,In the Ear,4.2,229212,599,799
boAt Rockerz 255F Pro,boAt,Active Black,In the Ear,3.9,18893,1149,3499
WeCool Moonwalk Mini in,WeCool,Black,In the Ear,3.4,0,849,1999
realme Buds Wireless 2,realme,Grey,In the Ear,4.1,56420,2299,3499
OnePlus Buds Z Bluetooth,OnePlus,Grey,True Wireless,4.2,65051,2999,3190
boAt Airdopes 131 Bluetooth,boAt,Cherry Blossom,True Wireless,4,625672,1099,2990
